"POST ID","State","Make and Model","Post Date","Asking $"
"SIA37486","AZ",,"05 JUL 2016","$138995"
"SIA37462","FL",,"12 JUN 2016","$28000"
"SIA37450","TX",,"11 JUN 2016","$32000"
"SIA37446","OH",,"24 JUL 2016","$46500"
"SIA37441","FL",,"10 JUL 2016","$10000"
"SIA37429","CO",,"06 JUL 2016","$29900"
"SIA37424","AZ",,"26 JUL 2016",""
"SIA37416","AZ",,"26 JUL 2016",""
"SIA37411","CT",,"09 JUN 2016","$9500"
"SIA37379","AZ",,"07 JUN 2016",""
"SIA37372","FL",,"08 JUL 2016",""
"SIA37370","MO",,"06 JUN 2016","$22900"
"SIA37356","CA",,"05 JUN 2016","$7000"
"SIA37337","MI",,"14 JUL 2016","$17000"
"SIA37329","FL",,"13 JUL 2016","$42500"
"SIA37320","FL",,"25 JUL 2016","$16500"
"SIA37308","CA",,"18 JUN 2016",""
"SIA37302","MI",,"01 JUN 2016","$6400"
"SIA37285","NH",,"23 JUN 2016","$28500"
"SIA37281","CA",,"31 MAY 2016",""
"SIA37278","CA",,"22 JUN 2016",""
"SIA37267","FL",,"14 JUL 2016","$12500"
"SIA37257","WI",,"20 JUN 2016","$6200"
"SIA37250","MI",,"18 JUN 2016","$46000"
"SIA37249","IN",,"26 MAY 2016","$15000"
"SIA37231","NJ",,"20 JUN 2016","$9900"
"SIA37228","CA",,"10 JUN 2016","$20000"
"SIA37218","NC",,"24 MAY 2016","$7200"
"SIA37211","CA",,"23 MAY 2016","$13900"
"SIA37169","TX",,"22 MAY 2016","$20999"
"SIA37154","MS",,"26 MAY 2016","$11500"
"SIA37150","NV",,"19 MAY 2016","$46995"
"SIA37143","IA",,"13 JUL 2016","$64999"
"SIA37141","MO",,"15 MAY 2016",""
"SIA37140","MO",,"18 JUN 2016",""
"SIA37139","CA",,"09 MAY 2016",""
"SIA37138","NV",,"18 MAY 2016","$86995"
"SIA37118","CA",,"25 JUL 2016","$36000"
"SIA37094","IN",,"18 JUN 2016","$15000"
"SIA37089","IL",,"15 JUN 2016","$8700"
"SIA37074","FL",,"18 JUN 2016","$16500"
"SIA37042","NV",,"14 MAY 2016",""
"SIA37021","IL",,"12 MAY 2016","$6500"
"SIA37010","FL",,"11 MAY 2016","$30000"
"SIA37000","AL",,"14 MAY 2016","$47000"
"SIA36993","NV",,"16 MAY 2016","$43995"
"SIA36991","MO",,"20 JUN 2016","$26000"
"SIA36963","AZ",,"16 MAY 2016","$89995"
"SIA36962","NV",,"16 MAY 2016","$69995"
"SIA36959","ON",,"07 MAY 2016","$9500"
"SIA36956","FL",,"06 MAY 2016","$62500"
"SIA36954","WI",,"09 MAY 2016","$8990"
